,Names,Profile URLs
0,Aliano Abbasi,https://pureportal.coventry.ac.uk/en/persons/aliano-abbasi/publications/
1,Mohammadreza Abbassi Monjezi,https://pureportal.coventry.ac.uk/en/persons/mohammadreza-abbassi-monjezi/publications/
2,Meryem Abdelhafid,https://pureportal.coventry.ac.uk/en/persons/meryem-abdelhafid/publications/
3,Mohamed Abdelshafy,https://pureportal.coventry.ac.uk/en/persons/mohamed-abdelshafy/publications/
4,Ali Mohamed Abdi,https://pureportal.coventry.ac.uk/en/persons/ali-mohamed-abdi/publications/
5,Mohamad Nazri Abd Karim,https://pureportal.coventry.ac.uk/en/persons/mohamad-nazri-abd-karim/publications/
6,Al-Noor Abdullah,https://pureportal.coventry.ac.uk/en/persons/al-noor-abdullah/publications/
7,Mohammed Abdullahi,https://pureportal.coventry.ac.uk/en/persons/mohammed-abdullahi/publications/
8,Rakib Abdur,https://pureportal.coventry.ac.uk/en/persons/rakib-abdur/publications/
9,Alfiatunnur Abdurrahman,https://pureportal.coventry.ac.uk/en/persons/alfiatunnur-abdurrahman/publications/
10,Jackie Abell,https://pureportal.coventry.ac.uk/en/persons/jackie-abell/publications/
11,Rebecca Aberton,https://pureportal.coventry.ac.uk/en/persons/rebecca-aberton/publications/
12,Essam Abo-Serie,https://pureportal.coventry.ac.uk/en/persons/essam-abo-serie-abdelfatah/publications/
13,Omar Abou Hamdan,https://pureportal.coventry.ac.uk/en/persons/omar-abou-hamdan/publications/
14,Siham Aboujanah,https://pureportal.coventry.ac.uk/en/persons/siham-aboujanah/publications/
15,Nacey Abraham,https://pureportal.coventry.ac.uk/en/persons/nacey-abraham/publications/
16,Jay Abrahams,https://pureportal.coventry.ac.uk/en/persons/jay-abrahams/publications/
17,Ahmad Abras,https://pureportal.coventry.ac.uk/en/persons/ahmad-abras/publications/
18,Habib Gajam Abubakar,https://pureportal.coventry.ac.uk/en/persons/habib-gajam-abubakar/publications/
19,Adam Abukari,https://pureportal.coventry.ac.uk/en/persons/adam-abukari/publications/
20,Anees Abu-Monshar,https://pureportal.coventry.ac.uk/en/persons/anees-abu-monshar/publications/
21,Pius Maduakonam Achuama,https://pureportal.coventry.ac.uk/en/persons/pius-maduakonam-achuama/publications/
22,Joseph Esuman Acquaah,https://pureportal.coventry.ac.uk/en/persons/joseph-esuman-acquaah/publications/
23,Elijah Acquah-Andoh,https://pureportal.coventry.ac.uk/en/persons/elijah-acquah-andoh/publications/
24,Abiodun Adanikin,https://pureportal.coventry.ac.uk/en/persons/abiodun-adanikin/publications/
25,Victor Aderogba Adebiyi,https://pureportal.coventry.ac.uk/en/persons/victor-aderogba-adebiyi/publications/
26,Tunde Adediran,https://pureportal.coventry.ac.uk/en/persons/tunde-adediran/publications/
27,Janneke Adema,https://pureportal.coventry.ac.uk/en/persons/janneke-adema/publications/
28,Mohammed Aderemi Adepoju,https://pureportal.coventry.ac.uk/en/persons/mohammed-aderemi-adepoju/publications/
29,Kamilah Adetunji,https://pureportal.coventry.ac.uk/en/persons/kamilah-adetunji/publications/
30,Thomas Kayode Adeyemi,https://pureportal.coventry.ac.uk/en/persons/thomas-kayode-adeyemi/publications/
31,Louise Adkins,https://pureportal.coventry.ac.uk/en/persons/louise-adkins/publications/
32,Frank Adom,https://pureportal.coventry.ac.uk/en/persons/frank-adom/publications/
33,Arthur Adomkevicius,https://pureportal.coventry.ac.uk/en/persons/arthur-adomkevicius/publications/
34,Mehran Afra,https://pureportal.coventry.ac.uk/en/persons/mehran-afra/publications/
35,Dami Agbato,https://pureportal.coventry.ac.uk/en/persons/dami-agbato/publications/
36,Araz Agha,https://pureportal.coventry.ac.uk/en/persons/araz-agha/publications/
37,Daniel Aghanya,https://pureportal.coventry.ac.uk/en/persons/daniel-aghanya/publications/
38,Sarah Agho,https://pureportal.coventry.ac.uk/en/persons/sarah-agho/publications/
39,Abel Agoba,https://pureportal.coventry.ac.uk/en/persons/abel-agoba/publications/
40,Stephanie Agulanna,https://pureportal.coventry.ac.uk/en/persons/stephanie-agulanna/publications/
41,Ismeil Ahamed,https://pureportal.coventry.ac.uk/en/persons/ismeil-ahamed/publications/
42,Bilal Ahmad,https://pureportal.coventry.ac.uk/en/persons/bilal-ahmad/publications/
43,Farhan Ahmad,https://pureportal.coventry.ac.uk/en/persons/farhan-ahmad/publications/
44,Mahmood Abdulsattar Ahmad Ahmad,https://pureportal.coventry.ac.uk/en/persons/mahmood-abdulsattar-ahmad-ahmad/publications/
45,Zahir Ahmad,https://pureportal.coventry.ac.uk/en/persons/zahir-ahmad/publications/
46,Hany Ahmed,https://pureportal.coventry.ac.uk/en/persons/hany-ahmed/publications/
47,Imtiaz Ahmed,https://pureportal.coventry.ac.uk/en/persons/imtiaz-ahmed/publications/
48,Karim Ahmed,https://pureportal.coventry.ac.uk/en/persons/karim-ahmed/publications/
49,Sarfraz Ahmed,https://pureportal.coventry.ac.uk/en/persons/sarfraz-ahmed/publications/
50,Tanvir Ahmed,https://pureportal.coventry.ac.uk/en/persons/tanvir-ahmed/publications/
51,Nurudeen Aigoro,https://pureportal.coventry.ac.uk/en/persons/nurudeen-aigoro/publications/
52,Martin Aitken-Smith,https://pureportal.coventry.ac.uk/en/persons/martin-aitken-smith/publications/
53,Olubunmi Ajala,https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala/publications/
54,Michael Ajao-Olarinoye,https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye/publications/
55,Titilope Ajepe,https://pureportal.coventry.ac.uk/en/persons/titilope-ajepe/publications/
56,Fatai Olanrewaju Ajidagba,https://pureportal.coventry.ac.uk/en/persons/fatai-olanrewaju-ajidagba/publications/
57,Blessing Ajilo,https://pureportal.coventry.ac.uk/en/persons/blessing-ajilo/publications/
58,Toluwanimi Akaehomen,https://pureportal.coventry.ac.uk/en/persons/toluwanimi-akaehomen/publications/
59,Emre Akgun,https://pureportal.coventry.ac.uk/en/persons/emre-akgun/publications/
60,Sanam Akhavannasab,https://pureportal.coventry.ac.uk/en/persons/sanam-akhavannasab/publications/
61,Damilola Akinniyi,https://pureportal.coventry.ac.uk/en/persons/damilola-akinniyi/publications/
62,Christiana Olajumoke Akintoye,https://pureportal.coventry.ac.uk/en/persons/christiana-olajumoke-akintoye/publications/
63,Josiah Akintunde,https://pureportal.coventry.ac.uk/en/persons/josiah-akintunde-2/publications/
